Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
DuplicateThrows;Java/Declaration redundancy;Duplicate throws;JAVA;LOCAL;0.00;0.00%;0;4
JavaEmptyModuleInfoFile;Java/Visibility;Empty 'module-info.java' file;JAVA;LOCAL;0.00;0.00%;0;27
ClassExplicitlyAnnotation;Java/Inheritance issues;Class extends annotation interface;JAVA;LOCAL;0.00;0.00%;0;27
ReplaceInefficientStreamCount;Java/Performance;Inefficient Stream API call chains ending with count();JAVA;LOCAL;0.00;0.00%;0;27
AssignmentUsedAsCondition;Java/Assignment issues;Assignment used as condition;JAVA;LOCAL;0.00;0.00%;0;1
TypeParameterHidesVisibleType;Java/Visibility;Type parameter hides visible type;JAVA;LOCAL;0.00;0.00%;0;27
SpringPublicFactoryMethodInspection;Spring/Spring Core/XML;Incorrect non-public method referenced in "factory-method" attribute;XML;LOCAL;0.00;0.00%;0;2
JavaReflectionMemberAccess;Java/Reflective access;Reflective access to non-existent or not visible class member;JAVA;LOCAL;0.00;0.00%;0;27
MaskedAssertion;Java/Test frameworks;Assertion is suppressed by 'catch';JAVA;LOCAL;0.00;0.00%;0;27
ReflectionForUnavailableAnnotation;Java/Probable bugs;Reflective access to a source-only annotation;JAVA;LOCAL;0.00;0.00%;0;27
InstantiatingObjectToGetClassObject;Java/Performance;Instantiating object to get 'Class' object;JAVA;LOCAL;0.00;0.00%;0;27
ShiftOutOfRange;Java/Bitwise operation issues;Shift operation by inappropriate constant;JAVA;LOCAL;0.00;0.00%;0;27
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.00;0.00%;0;2
EscapedSpace;Java/Code style issues;Non-terminal use of '\s' escape sequence;JAVA;LOCAL;0.00;0.00%;0;1
SpringAopErrorsInspection;Spring/Spring AOP;Incorrect Spring AOP advice or advisor element;XML;LOCAL;0.00;0.00%;0;2
ProtectedMemberInFinalClass;Java/Declaration redundancy;'protected' member in 'final' class;JAVA;LOCAL;0.00;0.00%;0;1
IterableUsedAsVararg;Java/Probable bugs;Iterable is used as vararg;JAVA;LOCAL;0.00;0.00%;0;27
DanglingJavadoc;Java/Javadoc;Dangling Javadoc comment;JAVA;LOCAL;0.00;0.00%;0;3
UnusedLabel;Java/Declaration redundancy;Unused label;JAVA;LOCAL;0.00;0.00%;0;3
UnnecessaryInitCause;Java/Error handling;Unnecessary call to 'Throwable.initCause()';JAVA;LOCAL;0.00;0.00%;0;27
ComparisonOfShortAndChar;Java/Numeric issues;Comparison of 'short' and 'char' values;JAVA;LOCAL;0.00;0.00%;0;27
OptionalUsedAsFieldOrParameterType;Java/Abstraction issues;'Optional' used as field or parameter type;JAVA;LOCAL;0.00;0.00%;0;27
ConstantForZeroLengthArrayAllocation;Java/Memory;Unnecessary zero length array usage;JAVA;LOCAL;0.00;0.00%;0;27
JavadocDeclaration;Java/Javadoc;Javadoc declaration problems;JAVA;LOCAL;0.00;0.00%;0;3
JavaReflectionInvocation;Java/Reflective access;Reflective invocation arguments mismatch;JAVA;LOCAL;0.00;0.00%;0;27
UnnecessaryBreak;Java/Verbose or redundant code constructs;Unnecessary 'break' statement;JAVA;LOCAL;0.00;0.00%;0;3
CaughtExceptionImmediatelyRethrown;Java/Error handling;Caught exception is immediately rethrown;JAVA;LOCAL;0.00;0.00%;0;27
InstantiationOfUtilityClass;Java/Probable bugs;Instantiation of utility class;JAVA;LOCAL;0.00;0.00%;0;27
TrailingWhitespacesInTextBlock;Java/Code style issues;Trailing whitespace in text block;JAVA;LOCAL;0.00;0.00%;0;1
SpringInactiveProfileHighlightingInspection;Spring/Spring Core/XML;Inactive profile highlighting;XML;LOCAL;0.00;0.00%;0;2
NewClassNamingConvention;Java/Naming conventions/Class;Class naming convention;JAVA;LOCAL;0.00;0.00%;0;1
UnpredictableBigDecimalConstructorCall;Java/Numeric issues;Unpredictable 'BigDecimal' constructor call;JAVA;LOCAL;0.00;0.00%;0;27
UnnecessaryTemporaryOnConversionToString;Java/Performance;Unnecessary temporary object in conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;27
ArrayHashCode;Java/Probable bugs;'hashCode()' called on array;JAVA;LOCAL;0.00;0.00%;0;27
TypeParameterExplicitlyExtendsObject;Java/Code style issues;Type parameter explicitly extends 'Object';JAVA;LOCAL;0.00;0.00%;0;2
IntegerDivisionInFloatingPointContext;Java/Numeric issues;Integer division in floating-point context;JAVA;LOCAL;0.00;0.00%;0;27
SpringSecurityDebugActivatedInspection;Spring/Spring Security;Debug mode is activated in the Spring Security configuration;XML;LOCAL;0.00;0.00%;0;2
StringEquality;Java/Probable bugs;String comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.00%;0;27
SpringSecurityModelInspection;Spring/Spring Security;Incorrect Spring Security XML-based application context;XML;LOCAL;0.00;0.00%;0;2
ConditionalBreakInInfiniteLoop;Java/Control flow issues;Conditional break inside loop;JAVA;LOCAL;0.00;0.00%;0;3
RedundantClassCall;Java/Verbose or redundant code constructs;Redundant 'isInstance()' or 'cast()' call;JAVA;LOCAL;0.00;0.00%;0;3
DuplicatedDataProviderNames;Java/TestNG;Duplicated data provider names;JAVA;LOCAL;0.00;0.00%;0;27
UnnecessaryLabelOnBreakStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'break' statement;JAVA;LOCAL;0.00;0.00%;0;3
UnnecessaryLabelOnContinueStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;4
ManualArrayCopy;Java/Performance;Manual array copy;JAVA;LOCAL;0.00;0.00%;0;27
NonFinalFieldInEnum;Java/Class structure;Non-final field in 'enum';JAVA;LOCAL;0.00;0.00%;0;2
SuspiciousListRemoveInLoop;Java/Probable bugs;Suspicious 'List.remove()' in loop;JAVA;LOCAL;0.00;0.00%;0;27
TrivialFunctionalExpressionUsage;Java/Declaration redundancy;Trivial usage of functional expression;JAVA;LOCAL;0.00;0.00%;0;4
JavadocLinkAsPlainText;Java/Javadoc;Link specified as plain text;JAVA;LOCAL;0.00;0.00%;0;2
WhileCanBeDoWhile;Java/Control flow issues;'while' can be replaced with 'do while';JAVA;LOCAL;0.00;0.00%;0;27
RedundantRecordConstructor;Java/Declaration redundancy;Redundant record constructor;JAVA;LOCAL;0.00;0.00%;0;5
WhileLoopSpinsOnField;Java/Threading issues;'while' loop spins on field;JAVA;LOCAL;0.00;0.00%;0;27
DefaultAnnotationParam;Java/Declaration redundancy;Default annotation parameter value;JAVA;LOCAL;0.00;0.00%;0;3
ThrowFromFinallyBlock;Java/Error handling;'throw' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;27
RegExpEmptyAlternationBranch;RegExp;Empty branch in alternation;RegExp;LOCAL;0.00;0.00%;0;3
finally;Java/Error handling;'finally' block which can not complete normally;JAVA;LOCAL;0.00;0.00%;0;27
BooleanConstructorCall;Java/Performance;Boolean constructor call;JAVA;LOCAL;0.00;0.00%;0;27
ClassInitializerMayBeStatic;Java/Performance;Class initializer may be 'static';JAVA;LOCAL;0.00;0.00%;0;27
FinalizeCalledExplicitly;Java/Finalization;'finalize()' called explicitly;JAVA;LOCAL;0.00;0.00%;0;27
SpringAopWarningsInspection;Spring/Spring AOP;Incorrect Spring AOP aspect or pointcut element;XML;LOCAL;0.00;0.00%;0;2
SuspiciousRegexArgument;Java/Probable bugs;Suspicious regex expression argument;JAVA;LOCAL;0.00;0.00%;0;27
RedundantUnmodifiable;Java/Verbose or redundant code constructs;Redundant usage of unmodifiable collection wrappers;JAVA;LOCAL;0.00;0.00%;0;3
LongLiteralEndingWithLowercaseL;Java/Numeric issues;'long' literal ending with 'l' instead of 'L';JAVA;LOCAL;0.00;0.00%;0;27
RedundantScheduledForRemovalAnnotation;Java/Code maturity;Redundant @ScheduledForRemoval annotation;JAVA;LOCAL;0.00;0.00%;0;1
NonAtomicOperationOnVolatileField;Java/Threading issues;Non-atomic operation on 'volatile' field;JAVA;LOCAL;0.00;0.00%;0;27
OptionalIsPresent;Java/Code style issues;Non functional style 'Optional.isPresent()' usage;JAVA;LOCAL;0.00;0.00%;0;2
LoopStatementThatDoesntLoop;Java/Control flow issues;Loop statement that does not loop;JAVA;LOCAL;0.00;0.00%;0;27
RedundantLengthCheck;Java/Verbose or redundant code constructs;Redundant array length check;JAVA;LOCAL;0.00;0.00%;0;1
ConstantConditionalExpression;Java/Control flow issues;Constant conditional expression;JAVA;LOCAL;0.00;0.00%;0;27
KotlinJvmAnnotationInJava;Kotlin/Java interop issues;Kotlin JVM annotation in Java;JAVA;LOCAL;0.00;0.00%;0;27
RegExpSuspiciousBackref;RegExp;Suspicious back reference;RegExp;LOCAL;0.00;0.00%;0;3
SpringBootApplicationProperties;Spring/Spring Boot;Invalid properties configuration;Properties;LOCAL;0.00;0.00%;0;1
SpringXmlModelInspection;Spring/Spring Core/XML;Incorrect Spring Core XML-based application context;XML;LOCAL;0.00;0.00%;0;2
CloneDoesntDeclareCloneNotSupportedException;Java/Cloning issues;'clone()' does not declare 'CloneNotSupportedException';JAVA;LOCAL;0.00;0.00%;0;27
RedundantLabeledSwitchRuleCodeBlock;Java/Code style issues;Labeled switch rule has redundant code block;JAVA;LOCAL;0.00;0.00%;0;1
MismatchedJavadocCode;Java/Javadoc;Mismatch between Javadoc and code;JAVA;LOCAL;0.00;0.00%;0;3
OverflowingLoopIndex;Java/Probable bugs;Loop executes zero or billions of times;JAVA;LOCAL;0.00;0.00%;0;27
CdiDomBeans;CDI (Contexts and Dependency Injection);Incorrect bean definitions in beans.xml;XML;LOCAL;0.00;0.00%;0;2
InnerClassMayBeStatic;Java/Memory;Inner class may be 'static';JAVA;LOCAL;0.00;0.00%;0;27
Java9UndeclaredServiceUsage;Java/Visibility;Usage of service not declared in 'module-info';JAVA;LOCAL;0.00;0.00%;0;27
ComparisonToNaN;Java/Numeric issues;Comparison to 'Double.NaN' or 'Float.NaN';JAVA;LOCAL;0.00;0.00%;0;27
SpringIncorrectResourceTypeInspection;Spring/Spring Core/XML;Incorrect resource type;XML;LOCAL;0.00;0.00%;0;2
SpringBeanNameConventionInspection;Spring/Spring Core/XML;Spring bean name violates conventions;XML;LOCAL;0.00;0.00%;0;2
SerialVersionUIDWithWrongSignature;Java/Serialization issues;'serialVersionUID' field not declared 'private static final long';JAVA;LOCAL;0.00;0.00%;0;27
ConditionCoveredByFurtherCondition;Java/Verbose or redundant code constructs;Condition is covered by further condition;JAVA;LOCAL;0.00;0.00%;0;1
SpringFactoryMethodInspection;Spring/Spring Core/XML;Incorrectly defined method referenced in "factory-method" attribute;XML;LOCAL;0.00;0.00%;0;2
RegExpSingleCharAlternation;RegExp;Single character alternation;RegExp;LOCAL;0.00;0.00%;0;3
MetaAnnotationWithoutRuntimeRetention;Java/JUnit;Test annotation without '@Retention(RUNTIME)' annotation;JAVA;LOCAL;0.00;0.00%;0;27
PatternVariableHidesField;Java/Visibility;Pattern variable hides field;JAVA;LOCAL;0.00;0.00%;0;27
EmptyClassInitializer;Java/Declaration redundancy;Empty class initializer;JAVA;LOCAL;0.00;0.00%;0;1
DifferentMavenStdlibVersion;Kotlin;Library and maven plugin versions are different;XML;LOCAL;0.00;0.00%;0;2
UnnecessaryContinue;Java/Verbose or redundant code constructs;Unnecessary 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;5
BvConstraintMappingsInspection;Bean Validation;Incorrect elements in Bean Validation <constraint-mappings> files;XML;LOCAL;0.00;0.00%;0;2
RegExpUnnecessaryNonCapturingGroup;RegExp;Unnecessary non-capturing group;RegExp;LOCAL;0.00;0.00%;0;3
BigDecimalMethodWithoutRoundingCalled;Java/Numeric issues;Call to 'BigDecimal' method without a rounding mode argument;JAVA;LOCAL;0.00;0.00%;0;27
UnnecessaryModifier;Java/Code style issues;Unnecessary modifier;JAVA;LOCAL;0.00;0.00%;0;2
PointlessArithmeticExpression;Java/Numeric issues;Pointless arithmetic expression;JAVA;LOCAL;0.00;0.00%;0;27
EmptyFinallyBlock;Java/Error handling;Empty 'finally' block;JAVA;LOCAL;0.00;0.00%;0;27
CStyleArrayDeclaration;Java/Code style issues;C-style array declaration;JAVA;LOCAL;0.00;0.00%;0;3
UnparsedCustomBeanInspection;Spring/Spring Core/XML;Unparsed custom Spring beans;XML;LOCAL;0.00;0.00%;0;2
NotNullFieldNotInitialized;Java/Probable bugs/Nullability problems;@NotNull field is not initialized;JAVA;LOCAL;0.00;0.00%;0;3
FinalPrivateMethod;Java/Class structure;'private' method declared 'final';JAVA;LOCAL;0.00;0.00%;0;1
ContinueOrBreakFromFinallyBlock;Java/Error handling;'continue' or 'break' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;27
SpringRequiredPropertyInspection;Spring/Spring Core/XML;Missing @Required property injections in the spring xml bean declaration;XML;LOCAL;0.00;0.00%;0;2
SpringBeanLookupMethodInspection;Spring/Spring Core/XML;Incorrectly configured XML bean lookup-method;XML;LOCAL;0.00;0.00%;0;2
FinalStaticMethod;Java/Class structure;'static' method declared 'final';JAVA;LOCAL;0.00;0.00%;0;3
RegExpRedundantNestedCharacterClass;RegExp;Redundant nested character class;RegExp;LOCAL;0.00;0.00%;0;3
ExplicitArrayFilling;Java/Verbose or redundant code constructs;Explicit array filling;JAVA;LOCAL;0.00;0.00%;0;3
SpringInjectionValueStyleInspection;Spring/Spring Core/XML;Injection value in XML application context violates conventions;XML;LOCAL;0.00;0.00%;0;2
ListRemoveInLoop;Java/Performance;'List.remove()' called in loop;JAVA;LOCAL;0.00;0.00%;0;27
SimplifiableBooleanExpression;Java/Control flow issues;Simplifiable boolean expression;JAVA;LOCAL;0.00;0.00%;0;27
IncompatibleBitwiseMaskOperation;Java/Bitwise operation issues;Incompatible bitwise mask operation;JAVA;LOCAL;0.00;0.00%;0;27
IteratorHasNextCallsIteratorNext;Java/Probable bugs;'Iterator.hasNext()' which calls 'next()';JAVA;LOCAL;0.00;0.00%;0;27
RedundantExplicitClose;Java/Declaration redundancy;Redundant 'close()';JAVA;LOCAL;0.00;0.00%;0;3
CallToPrintStackTrace;Java/Code maturity;Call to 'printStackTrace()';JAVA;LOCAL;0.00;0.00%;0;2
UnsatisfiedRange;Java/Probable bugs;Return value is outside of declared range;JAVA;LOCAL;0.00;0.00%;0;27
SpringIntegrationDeprecations21;Spring/Spring Integration;Spring Integration 2.1 deprecations;XML;LOCAL;0.00;0.00%;0;2
MathRoundingWithIntArgument;Java/Probable bugs;Call math rounding with 'int' argument;JAVA;LOCAL;0.00;0.00%;0;27
StringConcatenationArgumentToLogCall;Java/Logging;Non-constant string concatenation as argument to logging call;JAVA;LOCAL;0.00;0.00%;0;27
JavadocReference;Java/Javadoc;Declaration has problems in Javadoc references;JAVA;LOCAL;0.00;0.00%;0;3
SpringPlaceholdersInspection;Spring/Spring Core/XML;Unresolved placeholders configured in the Spring XML application context;XML;LOCAL;0.00;0.00%;0;2
UnnecessarySemicolon;Java/Code style issues;Unnecessary semicolon;JAVA;LOCAL;0.00;0.00%;0;2
SimplifyStreamApiCallChains;Java/Verbose or redundant code constructs;Stream API call chain can be simplified;JAVA;LOCAL;0.00;0.00%;0;1
SpringBeanInstantiationInspection;Spring/Spring Core/XML;Invalid non-abstract bean instantiation;XML;LOCAL;0.00;0.00%;0;2
RequiredBeanTypeInspection;Spring/Spring Core/XML;Incorrect injected bean type;XML;LOCAL;0.00;0.00%;0;2
InterfaceMethodClashesWithObject;Java/Abstraction issues;Interface method clashes with method in 'Object';JAVA;LOCAL;0.00;0.00%;0;27
SpringBeanAttributesInspection;Spring/Spring Core/XML;Conflicting Spring bean attribute;XML;LOCAL;0.00;0.00%;0;2
RedundantEscapeInRegexReplacement;Java/Verbose or redundant code constructs;Redundant escape in regex replacement string;JAVA;LOCAL;0.00;0.00%;0;3
RegExpUnexpectedAnchor;RegExp;Begin or end anchor in unexpected position;RegExp;LOCAL;0.00;0.00%;0;3
ComparatorResultComparison;Java/Probable bugs;Suspicious usage of compare method;JAVA;LOCAL;0.00;0.00%;0;27
ListIndexOfReplaceableByContains;Java/Code style issues;'List.indexOf()' expression can be replaced with 'contains()';JAVA;LOCAL;0.00;0.00%;0;3
Java9ReflectionClassVisibility;Java/Reflective access;Reflective access across modules issues;JAVA;LOCAL;0.00;0.00%;0;27
NonStrictComparisonCanBeEquality;Java/Verbose or redundant code constructs;Non-strict inequality '>=' or '<=' can be replaced with '==';JAVA;LOCAL;0.00;0.00%;0;2
ComparatorMethodParameterNotUsed;Java/Probable bugs;Suspicious 'Comparator.compare()' implementation;JAVA;LOCAL;0.00;0.00%;0;27
SuspiciousToArrayCall;Java/Probable bugs;Suspicious 'Collection.toArray()' call;JAVA;LOCAL;0.00;0.00%;0;27
ThreadLocalSetWithNull;Java/Threading issues;'ThreadLocal.set()' with null as an argument;JAVA;LOCAL;0.00;0.00%;0;27
SimplifyCollector;Java/Verbose or redundant code constructs;Simplifiable collector;JAVA;LOCAL;0.00;0.00%;0;3
SuspiciousArrayMethodCall;Java/Probable bugs;Suspicious 'Arrays' method call;JAVA;LOCAL;0.00;0.00%;0;27
UnnecessaryUnicodeEscape;Java/Internationalization;Unnecessary unicode escape sequence;JAVA;LOCAL;0.00;0.00%;0;6
SynchronizationOnLocalVariableOrMethodParameter;Java/Threading issues;Synchronization on local variable or method parameter;JAVA;LOCAL;0.00;0.00%;0;27
SpringXmlAutowireExplicitlyInspection;Spring/Spring Core/XML;Unnecessary autowired dependency in XML application context;XML;LOCAL;0.00;0.00%;0;2
InjectionValueTypeInspection;Spring/Spring Core/XML;Unassignable injection point type in XML application context;XML;LOCAL;0.00;0.00%;0;2
MethodNameSameAsClassName;Java/Naming conventions/Method;Method name same as class name;JAVA;LOCAL;0.00;0.00%;0;2
AssignmentToCatchBlockParameter;Java/Assignment issues;Assignment to 'catch' block parameter;JAVA;LOCAL;0.00;0.00%;0;3
SpringInjectionValueConsistencyInspection;Spring/Spring Core/XML;Inconsistent injection value in XML application context;XML;LOCAL;0.00;0.00%;0;2
SuspiciousIntegerDivAssignment;Java/Probable bugs;Suspicious integer division assignment;JAVA;LOCAL;0.00;0.00%;0;27
EmptyTryBlock;Java/Error handling;Empty 'try' block;JAVA;LOCAL;0.00;0.00%;0;27
BvConfigDomInspection;Bean Validation;Incorrect elements in Bean Validation <validation-config> files;XML;LOCAL;0.00;0.00%;0;2
AssertWithSideEffects;Java/Probable bugs;'assert' statement with side effects;JAVA;LOCAL;0.00;0.00%;0;27
DuplicateBranchesInSwitch;Java/Verbose or redundant code constructs;Duplicate branches in 'switch';JAVA;LOCAL;0.00;0.00%;0;3
SpringXmlAutowiringInspection;Spring/Spring Core/XML;Incorrect XML Spring bean autowiring;XML;LOCAL;0.00;0.00%;0;2
ManualMinMaxCalculation;Java/Verbose or redundant code constructs;Manual min/max calculation;JAVA;LOCAL;0.00;0.00%;0;1
SillyAssignment;Java/Declaration redundancy;Variable is assigned to itself;JAVA;LOCAL;0.00;0.00%;0;2
ThrowableSupplierOnlyThrowException;Java/Error handling;Throwable supplier never returns a value;JAVA;LOCAL;0.00;0.00%;0;27
RedundantStreamOptionalCall;Java/Verbose or redundant code constructs;Redundant step in 'Stream' or 'Optional' call chain;JAVA;LOCAL;0.00;0.00%;0;4
KotlinSealedInheritorsInJava;Kotlin/Java interop issues;Inheritance of Kotlin sealed interface/class from Java;JAVA;LOCAL;0.00;0.00%;0;27
UnnecessaryReturnStatement;Java/Verbose or redundant code constructs;Unnecessary 'return' statement;JAVA;LOCAL;0.00;0.00%;0;3
AbstractBeanReferencesInspection;Spring/Spring Core/XML;Incorrect reference to abstract bean;XML;LOCAL;0.00;0.00%;0;2
RedundantStringFormatCall;Java/Performance;Redundant call to 'String.format()';JAVA;LOCAL;0.00;0.00%;0;27
ConditionalExpressionWithIdenticalBranches;Java/Control flow issues;Conditional expression with identical branches;JAVA;LOCAL;0.00;0.00%;0;27
PointlessNullCheck;Java/Control flow issues;Unnecessary 'null' check before method call;JAVA;LOCAL;0.00;0.00%;0;27
StringConcatenationInsideStringBufferAppend;Java/Performance;String concatenation as argument to 'StringBuilder.append()' call;JAVA;LOCAL;0.00;0.00%;0;27
RedundantComparatorComparing;Java/Verbose or redundant code constructs;Comparator method can be simplified;JAVA;LOCAL;0.00;0.00%;0;1
SwitchStatementWithTooFewBranches;Java/Control flow issues;Minimum 'switch' branches;JAVA;LOCAL;0.00;0.00%;0;1
RedundantCollectionOperation;Java/Verbose or redundant code constructs;Redundant 'Collection' operation;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryToStringCall;Java/Code style issues;Unnecessary call to 'toString()';JAVA;LOCAL;0.00;0.00%;0;1
ContextComponentScanInconsistencyInspection;Spring/Spring Core/XML;Invalid filter definition in XML-based component scans;XML;LOCAL;0.00;0.00%;0;2
AtomicFieldUpdaterIssues;Java/Threading issues;Inconsistent 'AtomicFieldUpdater' declaration;JAVA;LOCAL;0.00;0.00%;0;27
RegExpRepeatedSpace;RegExp;Consecutive spaces;RegExp;LOCAL;0.00;0.00%;0;3
RegExpDuplicateAlternationBranch;RegExp;Duplicate branch in alternation;RegExp;LOCAL;0.00;0.00%;0;3
IncorrectDateTimeFormat;Java/Probable bugs;Incorrect 'DateTimeFormat' pattern;JAVA;LOCAL;0.00;0.00%;0;27
UtilSchemaInspection;Spring/Spring Core/XML;Incorrectly configured 'util' schema beans defined in XML application context;XML;LOCAL;0.00;0.00%;0;2
SynchronizeOnNonFinalField;Java/Threading issues;Synchronization on a non-final field;JAVA;LOCAL;0.00;0.00%;0;27
ExcessiveRangeCheck;Java/Verbose or redundant code constructs;Excessive range check;JAVA;LOCAL;0.00;0.00%;0;1
MalformedDataProvider;Java/TestNG;Data provider problems;JAVA;LOCAL;0.00;0.00%;0;27
MeaninglessRecordAnnotationInspection;Java/Probable bugs;Meaningless record annotation;JAVA;LOCAL;0.00;0.00%;0;27
serial;Java/Serialization issues;'@Serial' annotation used on wrong member;JAVA;LOCAL;0.00;0.00%;0;27
OctalInteger;Java/Numeric issues;Octal integer;JAVA;LOCAL;0.00;0.00%;0;27
CopyConstructorMissesField;Java/Probable bugs;Copy constructor misses field;JAVA;LOCAL;0.00;0.00%;0;27
synchronization;Java/Compiler issues;Value-based warnings;JAVA;LOCAL;0.00;0.00%;0;27
CapturingCleaner;Java/Probable bugs;Cleaner captures object reference;JAVA;LOCAL;0.00;0.00%;0;27
InvalidComparatorMethodReference;Java/Probable bugs;Invalid method reference used for 'Comparator';JAVA;LOCAL;0.00;0.00%;0;27
DuplicatedBeanNamesInspection;Spring/Spring Core/XML;Duplicated bean names in XML-based application context;XML;LOCAL;0.00;0.00%;0;2
SuspiciousIndentAfterControlStatement;Java/Probable bugs;Suspicious indentation after control statement without braces;JAVA;LOCAL;0.00;0.00%;0;27
CastCanBeRemovedNarrowingVariableType;Java/Verbose or redundant code constructs;Too weak variable type leads to unnecessary cast;JAVA;LOCAL;0.00;0.00%;0;2